epoch,train_cross_entropy,val_cross_entropy,val_macro_f1,val_balanced_accuracy,val_accuracy,pred_short_count,pred_hold_count,pred_long_count
1,1.0871908187272856,1.05230745203818,0.3060580869578282,0.3481795358709299,0.5586404978458592,16,1873,200
2,1.074413979083165,1.0255271028022894,0.2894398540057996,0.34903118591114457,0.5792245093346099,6,2002,81
3,1.0653597937277226,1.0042996539517188,0.293375642495793,0.3537812393301129,0.5868836764001915,2,2014,73
4,1.0587860819315271,0.988501646491316,0.3010759971891239,0.3583856302102036,0.5907132599329823,1,2005,83
5,1.0542970345046445,0.9801897123534467,0.3105745157634453,0.3632103242411151,0.5931067496409765,2,1992,95
6,1.0521957281493122,0.9770274066137549,0.3189631818036895,0.3676913777753789,0.5955002393489708,3,1979,107
7,1.0510998546049797,0.9770817997753477,0.3222375102596554,0.3690745378771767,0.5955002393489708,4,1973,112
8,1.0498975503058992,0.9743928594301624,0.32521666014971123,0.37093327393665626,0.5969363331737674,4,1970,115
9,1.0467514021955489,0.9738622397369834,0.33460141775674274,0.3765857825371042,0.6007659167065582,5,1956,128
10,1.0458992350946452,0.9731744948102277,0.33984750819588405,0.37921669812709546,0.6017233125897559,8,1946,135
11,1.0432898575550444,0.9725169595660862,0.34350438593671195,0.38121083880017953,0.6022020105313547,9,1934,146
12,1.041846750375697,0.9737058599751894,0.34485116966274415,0.38189811979347493,0.6022020105313547,9,1930,150
13,1.042138666521625,0.9698659681201038,0.3414025777732939,0.3799630833119861,0.601244614648157,10,1932,147
14,1.038947870538184,0.9729300159310085,0.3444901213219844,0.3805861311510497,0.5993298228817616,16,1920,153
15,1.0389638909195653,0.9727140474456415,0.34762729185251073,0.3814260129883637,0.5983724269985639,23,1914,152
16,1.0359804269157475,0.9750885675831125,0.3525007734026088,0.38378099038850944,0.5988511249401628,28,1905,156
17,1.035636724925984,0.9760228181467381,0.35180045866554854,0.38165838340696184,0.5945428434657731,38,1898,153
18,1.0342738304020391,0.974246474274498,0.3527717009610643,0.3817937880205664,0.5935854475825754,42,1890,157
19,1.032325583807894,0.9788109103477189,0.3582418729198753,0.38374089176983267,0.5921493537577789,59,1871,159
20,1.0317616561490035,0.9764487793309772,0.3580486613346789,0.3831890153901418,0.5911919578745811,66,1867,156
21,1.0311170078354592,0.9771462048053057,0.3559759906555202,0.38093100379498973,0.5878410722833892,76,1863,150
22,1.0292605936433854,0.9785307438365577,0.36357802010539375,0.38474544171894265,0.5878410722833892,93,1843,153
23,1.02731547934502,0.9777146651734571,0.36116083325759885,0.3820032560509019,0.5830540928674006,106,1834,149
24,1.0268976224579671,0.9807422750015587,0.3592754230558097,0.3802713264898198,0.5806606031594064,108,1825,156
25,1.0262079082366915,0.9811692553710116,0.3702743221490754,0.3876173258427391,0.584968884633796,119,1817,153
26,1.026411938243159,0.9816867283453149,0.3698553830089108,0.3863816376223232,0.5816179990426041,132,1805,152
27,1.0225609404248064,0.9826962967818293,0.36642165105551344,0.383486851110264,0.5777884155098133,134,1799,156
28,1.022517428231993,0.9815934124947051,0.370054390545022,0.3858504266256168,0.5782671134514121,142,1791,156
29,1.0230070592423322,0.982315363411472,0.3704940248791688,0.385918128932419,0.5777884155098133,145,1787,157
30,1.0200725883940462,0.980923921911268,0.3734064924817888,0.3876535276460716,0.5777884155098133,155,1778,156
31,1.0177003336574681,0.9830193372934615,0.3790032994663308,0.3903085777716178,0.5739588319770225,178,1750,161
32,1.0175803888227568,0.9886212867090381,0.3804130335400821,0.39020077684613885,0.5677357587362374,200,1720,169
33,1.0168478823288298,0.9825563662185687,0.3810150539318491,0.3917003359886227,0.5739588319770225,184,1745,160
34,1.0136494384360035,0.9862802380177894,0.37894668169427487,0.38916125724098877,0.5677357587362374,199,1727,163
35,1.013304717980922,0.9863352858888983,0.3825210678626281,0.3911760632970573,0.5658209669698421,205,1708,176
36,1.012006533086569,0.9854195939689917,0.37270721584480254,0.3837709597525427,0.5619913834370512,208,1720,161
37,1.0089171705449032,0.9919727538806391,0.3760628727429669,0.3853308552339141,0.556247008137865,248,1682,159
38,1.008314042418154,0.9872780253066579,0.3593086150874683,0.37193364894008657,0.5505026328386788,216,1702,171
39,1.0063863878085741,0.9968144687640719,0.36157265326432614,0.37025345760268497,0.5361416945907133,277,1630,182
40,1.0045368701854118,0.9998028561394428,0.35121401363439575,0.36090818861404506,0.5289612254667305,285,1627,177
41,1.0003345415431548,1.0059510574722017,0.3475974498521202,0.35616160434764726,0.5189085686931546,318,1588,183
42,0.9973401634228791,1.0108734157851234,0.3445794034160361,0.35297021426275804,0.5169937769267592,321,1591,177
43,0.9983590779815229,1.026092700692328,0.3404089806706625,0.3471939406537094,0.4954523695548109,417,1501,171
