regime_axis,regime,model,samples,accuracy,macro_f1,balanced_accuracy,short_precision,short_recall,hold_precision,hold_recall,long_precision,long_recall,short_support,hold_support,long_support
trend,UP,Ridge-Flat,1482,0.4365721997300945,0.24632554833105666,0.3241151508398977,0.4423076923076923,0.0444015444015444,0.47130833970925784,0.8992700729927007,0.06504065040650407,0.02867383512544803,518,685,279
trend,DOWN,Ridge-Flat,2544,0.4520440251572327,0.29384550694747824,0.35067648548801134,0.13043478260869565,0.02097902097902098,0.47402298850574714,0.8693086003372681,0.4094488188976378,0.16174183514774496,715,1186,643
trend,SIDEWAYS,Ridge-Flat,2265,0.5646799116997793,0.2823720769076627,0.33818743891833863,0.3888888888888889,0.042682926829268296,0.5839587242026266,0.9431818181818182,0.16455696202531644,0.02869757174392936,492,1320,453
volatility,HIGH,Ridge-Flat,2653,0.4244251790425933,0.29408343861218,0.34958416538604165,0.3148148148148148,0.04066985645933014,0.4518963922294172,0.8272650296359018,0.3002610966057441,0.18081761006289307,836,1181,636
volatility,LOW,Ridge-Flat,3638,0.5360087960417812,0.25857969668765984,0.3314632009839075,0.22123893805309736,0.0281214848143982,0.5547508690614137,0.9527363184079602,0.136986301369863,0.013531799729364006,889,2010,739
combined,UP_HIGH,Ridge-Flat,691,0.3878437047756874,0.2537004913816508,0.3171306179248401,0.7307692307692307,0.0657439446366782,0.4358047016274864,0.8087248322147651,0.07142857142857142,0.07692307692307693,289,298,104
combined,UP_LOW,Ridge-Flat,791,0.47914032869785084,0.22956356366677547,0.3288198323234375,0.15384615384615385,0.017467248908296942,0.4973474801061008,0.9689922480620154,0.0,0.0,229,387,175
combined,DOWN_HIGH,Ridge-Flat,1385,0.43176895306859203,0.3097948873218481,0.3655762801806363,0.09230769230769231,0.014925373134328358,0.44484304932735425,0.835016835016835,0.4682926829268293,0.2467866323907455,402,594,389
combined,DOWN_LOW,Ridge-Flat,1159,0.47627264883520276,0.2500306050856021,0.32132209093952196,0.18,0.02875399361022364,0.5047169811320755,0.9037162162162162,0.16326530612244897,0.031496062992125984,313,592,254
combined,SIDEWAYS_HIGH,Ridge-Flat,577,0.4506065857885615,0.2764670296430732,0.3231472898099792,0.5294117647058824,0.06206896551724138,0.48582995951417,0.8304498269896193,0.16666666666666666,0.07692307692307693,145,289,143
