regime_axis,regime,rolling,samples,ratio
trend,UP,rolling_1,338,0.15996213913866542
trend,UP,rolling_2,544,0.2574538570752485
trend,UP,rolling_3,600,0.29055690072639223
trend,DOWN,rolling_1,584,0.27638428774254614
trend,DOWN,rolling_2,945,0.4472314245149077
trend,DOWN,rolling_3,1015,0.4915254237288136
trend,SIDEWAYS,rolling_1,1191,0.5636535731187885
trend,SIDEWAYS,rolling_2,624,0.2953147184098438
trend,SIDEWAYS,rolling_3,450,0.2179176755447942
volatility,HIGH,rolling_1,276,0.130619971604354
volatility,HIGH,rolling_2,1056,0.4997633696166588
volatility,HIGH,rolling_3,1321,0.6397094430992736
volatility,LOW,rolling_1,1837,0.869380028395646
volatility,LOW,rolling_2,1057,0.5002366303833412
volatility,LOW,rolling_3,744,0.36029055690072637
combined,UP_HIGH,rolling_1,60,0.02839564600094652
combined,UP_HIGH,rolling_2,217,0.10269758637008992
combined,UP_HIGH,rolling_3,414,0.20048426150121065
combined,UP_LOW,rolling_1,278,0.13156649313771887
combined,UP_LOW,rolling_2,327,0.15475627070515854
combined,UP_LOW,rolling_3,186,0.09007263922518159
combined,DOWN_HIGH,rolling_1,105,0.04969238050165641
combined,DOWN_HIGH,rolling_2,641,0.30336015144344536
combined,DOWN_HIGH,rolling_3,639,0.30944309927360775
combined,DOWN_LOW,rolling_1,479,0.22669190724088972
combined,DOWN_LOW,rolling_2,304,0.14387127307146239
combined,DOWN_LOW,rolling_3,376,0.1820823244552058
combined,SIDEWAYS_HIGH,rolling_1,111,0.05253194510175106
combined,SIDEWAYS_HIGH,rolling_2,198,0.09370563180312352
combined,SIDEWAYS_HIGH,rolling_3,268,0.1297820823244552
combined,SIDEWAYS_LOW,rolling_1,1080,0.5111216280170374
combined,SIDEWAYS_LOW,rolling_2,426,0.2016090866067203
combined,SIDEWAYS_LOW,rolling_3,182,0.08813559322033898
