regime_axis,regime,model,samples,mae,rmse,directional_accuracy,pearson_correlation,spearman_correlation
trend,UP,Ridge-Flat,1482,0.017043309641485004,0.02205961882148092,0.3913630229419703,-0.12250348040793191,-0.2045666254987926
trend,DOWN,Ridge-Flat,2544,0.019106660465010177,0.027230677757681853,0.4988207547169811,0.00995434380034516,0.036191420165363926
trend,SIDEWAYS,Ridge-Flat,2265,0.013549692311369033,0.01846119280683286,0.4847682119205298,-0.05508319165019247,-0.017335317313074895
volatility,HIGH,Ridge-Flat,2653,0.01988665107264819,0.027981597045956614,0.450433471541651,-0.029632438780527456,-0.04695246565354161
volatility,LOW,Ridge-Flat,3638,0.014237574739192375,0.01892020850920437,0.48158328752061574,-0.060764650020752396,-0.03507464267914879
combined,UP_HIGH,Ridge-Flat,691,0.018188459078076907,0.023869852714957424,0.3342981186685962,-0.01969618328316771,-0.14978419626337838
combined,UP_LOW,Ridge-Flat,791,0.01604293257361521,0.020346862964726598,0.44121365360303416,-0.15485003561157767,-0.1789901689363995
combined,DOWN_HIGH,Ridge-Flat,1385,0.022604356122032484,0.0321851798350498,0.4967509025270758,0.011645398108634209,0.03213154478361798
combined,DOWN_LOW,Ridge-Flat,1159,0.0149269292441509,0.019741625394144695,0.5012942191544435,0.011437475650194602,0.029155818559893503
combined,SIDEWAYS_HIGH,Ridge-Flat,577,0.015396926938941983,0.020765505775749253,0.4783362218370884,-0.13490915785743998,-0.08969822382006121
combined,SIDEWAYS_LOW,Ridge-Flat,1688,0.012918261991398899,0.01760448546424513,0.48696682464454977,-0.0546870646032387,0.0012239963065369358
trend,UP,LSTM Regression,1482,0.017986486802756888,0.02302217849638425,0.41970310391363025,-0.030113194243989345,-0.11502016285846733
trend,DOWN,LSTM Regression,2544,0.019760052543396214,0.0279590272454066,0.48309748427672955,0.005763894633155556,-0.012393870684995773
trend,SIDEWAYS,LSTM Regression,2265,0.013818356704784854,0.018632097347621383,0.48741721854304637,0.03139827195058564,0.00042881052395353145
volatility,HIGH,LSTM Regression,2653,0.020561914363918788,0.028862324319210392,0.4666415378816434,0.017070192138853472,-0.02358772618873923
volatility,LOW,LSTM Regression,3638,0.014753536624779233,0.019266521527095924,0.4719626168224299,-0.030422332828120173,-0.052193402510921284
combined,UP_HIGH,LSTM Regression,691,0.01935293675139041,0.024949235118445948,0.38060781476121563,0.02925153760376526,-0.06635662117578939
combined,UP_LOW,LSTM Regression,791,0.01679278653157388,0.021195848749463904,0.4538558786346397,-0.1201069497431359,-0.15275823090318444
combined,DOWN_HIGH,LSTM Regression,1385,0.02327181576604006,0.03317886131280966,0.5010830324909747,0.01626990634824328,-0.004999272341356186
combined,DOWN_LOW,LSTM Regression,1159,0.01556351064230759,0.020008714831697888,0.4616048317515099,-0.04398958078128836,-0.0351231315679252
combined,SIDEWAYS_HIGH,LSTM Regression,577,0.01550505143206288,0.021032973373772624,0.48700173310225303,0.027722099688851424,0.04233463316002311
combined,SIDEWAYS_LOW,LSTM Regression,1688,0.013241802879169082,0.01773704533147758,0.48755924170616116,0.016769232534638655,-0.013719442321901637
trend,UP,TimesNet Regression,1482,0.017988232395195352,0.023079655169918216,0.46963562753036436,-0.04085680585272349,-0.04924339121001356
trend,DOWN,TimesNet Regression,2544,0.019784788623025164,0.028042575825243384,0.4815251572327044,-0.04554431961441387,-0.05474356616480117
trend,SIDEWAYS,TimesNet Regression,2265,0.014106309057206345,0.018891061385483465,0.49183222958057393,0.03486477976997117,0.010980799333410155
volatility,HIGH,TimesNet Regression,2653,0.020656919182804864,0.02898786098240574,0.5013192612137203,-0.0056942645507899485,-0.006138719104717301
volatility,LOW,TimesNet Regression,3638,0.014881540981101317,0.019398555649793477,0.4686641011544805,-0.04467438124982706,-0.05196705639326774
combined,UP_HIGH,TimesNet Regression,691,0.01914105269168668,0.025181298812774807,0.5282199710564399,0.007515296107543397,0.05563575631690106
combined,UP_LOW,TimesNet Regression,791,0.016981154234796476,0.021072869443112797,0.41845764854614415,-0.12245689065585504,-0.14597808002087156
combined,DOWN_HIGH,TimesNet Regression,1385,0.023387539700907248,0.033255736729508704,0.4750902527075812,-0.0630062596435472,-0.08618828914941265
combined,DOWN_LOW,TimesNet Regression,1159,0.01547951662745425,0.020112574860795204,0.48921484037963764,-0.007615531140812182,-0.007124217444850203
combined,SIDEWAYS_HIGH,TimesNet Regression,577,0.015917845227503065,0.021203456517039906,0.5320623916811091,0.10797366255765205,0.09034098603081395
combined,SIDEWAYS_LOW,TimesNet Regression,1688,0.013487081349705627,0.018032751991415054,0.47808056872037913,-0.02794145827950791,-0.02652691585060884
trend,UP,Chronos-2 LoRA,1482,0.016748550488614206,0.02190214716642235,0.5134952766531714,0.00032362263995930774,0.00803015303948072
