alpha,mae,rmse,directional_accuracy,pearson_correlation,spearman_correlation,macro_f1,accuracy,pred_short_count,pred_hold_count,pred_long_count
1e-08,0.012203465988631007,0.016172609090633894,0.5063890203502129,0.007275245125002028,0.008112736437550032,0.27997630318767514,0.628490298154283,32,2059,22
1e-07,0.012203464124959153,0.016172607717775955,0.5063890203502129,0.007275327730392372,0.008120292043451419,0.27997630318767514,0.628490298154283,32,2059,22
1e-06,0.012203464210953679,0.016172608726652014,0.5063890203502129,0.007275233945277301,0.008119292261256386,0.27997630318767514,0.628490298154283,32,2059,22
1e-05,0.012203467023043615,0.01617262030403784,0.5063890203502129,0.0072742033678468215,0.008112913243816076,0.27997630318767514,0.628490298154283,32,2059,22
0.0001,0.012203494404303072,0.01617273516577093,0.5063890203502129,0.007264030354170783,0.008092757329487223,0.27997630318767514,0.628490298154283,32,2059,22
0.001,0.012203740276111524,0.016173785541483816,0.5073355418835779,0.007175114855103877,0.008060266952123732,0.27997630318767514,0.628490298154283,32,2059,22
0.01,0.012203856350036018,0.01617888935358549,0.5063890203502129,0.006883013818023826,0.008228301592190542,0.28152913660218354,0.628490298154283,33,2057,23
0.1,0.012179290466881303,0.01616813277315195,0.5130146710837672,0.008229620923448523,0.010855170798211045,0.28396369354726053,0.6313298627543776,30,2062,21
1.0,0.012014569796078942,0.016021475725221154,0.5158542356838618,0.02152904475363599,0.027209471841879863,0.27993228817537447,0.6332229058211074,18,2075,20
10.0,0.01169012889106702,0.015706524149679362,0.5333648840511122,0.0584441458080992,0.07149837047204496,0.26586794560796007,0.6351159488878372,6,2097,10
100.0,0.011525672645628052,0.015534837733740607,0.5380974917179366,0.08298776476981906,0.10294922620623188,0.266340725578566,0.637008991954567,6,2101,6
1000.0,0.011513299984750158,0.015476908237426111,0.5324183625177473,0.07432259170768778,0.09880153691505211,0.2593021014073646,0.6365357311878845,0,2108,5
10000.0,0.011754844866575747,0.015618532506812003,0.5073355418835779,0.007050349635563794,0.0212679723187836,0.2598902685532775,0.6389020350212967,0,2113,0
100000.0,0.011725774960305779,0.015611110498016584,0.4945575011831519,-0.03362485791206518,-0.022919402627034822,0.2598902685532775,0.6389020350212967,0,2113,0
1000000.0,0.011431087844437807,0.015410241305547853,0.5044959772834832,-0.05083619562587189,-0.032284256872935284,0.2598902685532775,0.6389020350212967,0,2113,0
10000000.0,0.011379633566034731,0.015365200523463029,0.5309985802177,-0.06002017704307139,-0.04046807324539701,0.2598902685532775,0.6389020350212967,0,2113,0
100000000.0,0.011377478077620996,0.015362168436723405,0.5309985802177,-0.06140122498404518,-0.041833471718792176,0.2598902685532775,0.6389020350212967,0,2113,0
1000000000.0,0.011377298465528108,0.01536191152966582,0.5309985802177,-0.061546160461017706,-0.04198074752244305,0.2598902685532775,0.6389020350212967,0,2113,0
10000000000.0,0.01137728071700465,0.01536188637051522,0.5309985802177,-0.06156072541609487,-0.04199463508224631,0.2598902685532775,0.6389020350212967,0,2113,0
